date,deaths_new,deaths_new_dod,deaths_bid,deaths_bid_dod
1/1/2021,3,12,0,1
2/1/2021,9,9,1,1
3/1/2021,11,8,1,1
4/1/2021,7,10,0,1
5/1/2021,11,10,3,2
6/1/2021,1,17,1,3
7/1/2021,8,6,1,2
8/1/2021,16,12,3,1
9/1/2021,5,8,0,1
10/1/2021,9,12,1,3
11/1/2021,4,3,1,1
12/1/2021,4,10,0,1
13/1/2021,4,9,2,4
14/1/2021,15,13,2,3
15/1/2021,8,14,0,3
16/1/2021,8,15,1,2
17/1/2021,7,11,1,3
18/1/2021,4,16,0,1
19/1/2021,14,10,1,2
20/1/2021,11,20,1,5
21/1/2021,12,15,2,5
22/1/2021,18,16,4,3
23/1/2021,7,15,0,1
24/1/2021,11,11,2,1
25/1/2021,11,16,3,4
26/1/2021,11,20,2,2
27/1/2021,7,16,0,6
28/1/2021,10,12,2,0
29/1/2021,16,19,5,2
30/1/2021,13,13,3,2
31/1/2021,14,18,2,2
1/2/2021,10,15,0,2
2/2/2021,21,14,0,1
3/2/2021,18,20,4,3
4/2/2021,17,22,3,2
5/2/2021,19,8,2,2
6/2/2021,12,16,3,1
7/2/2021,15,12,3,0
8/2/2021,24,23,6,6
9/2/2021,13,13,0,0
10/2/2021,14,11,0,2
11/2/2021,1,13,0,0
12/2/2021,18,6,1,0
13/2/2021,6,15,1,2
14/2/2021,8,9,0,1
15/2/2021,11,14,0,3
16/2/2021,9,12,1,1
17/2/2021,23,7,2,1
18/2/2021,1,7,0,2
19/2/2021,39,9,7,1
20/2/2021,9,8,1,0
21/2/2021,6,5,1,0
22/2/2021,7,10,2,1
23/2/2021,20,5,6,1
24/2/2021,12,5,1,0
25/2/2021,13,6,2,1
26/2/2021,10,3,5,0
27/2/2021,10,10,2,1
28/2/2021,9,5,0,0
1/3/2021,5,4,0,0
2/3/2021,6,9,1,2
3/3/2021,7,4,0,0
4/3/2021,5,3,0,0
5/3/2021,6,9,1,1
6/3/2021,7,4,0,0
7/3/2021,3,5,0,0
8/3/2021,8,6,1,1
9/3/2021,9,8,2,0
10/3/2021,5,7,0,1
11/3/2021,9,4,1,0
12/3/2021,3,3,1,0
13/3/2021,3,3,0,0
14/3/2021,4,3,0,0
15/3/2021,3,5,0,0
16/3/2021,5,3,0,0
17/3/2021,2,2,0,0
18/3/2021,3,2,0,1
19/3/2021,2,1,0,0
20/3/2021,4,5,0,1
21/3/2021,4,6,0,1
22/3/2021,5,4,1,0
23/3/2021,1,2,0,2
24/3/2021,2,4,0,1
25/3/2021,2,2,0,0
26/3/2021,1,1,0,0
27/3/2021,2,8,2,1
28/3/2021,4,3,0,0
29/3/2021,5,4,0,2
30/3/2021,4,6,0,0
31/3/2021,8,9,1,2
1/4/2021,6,3,2,0
2/4/2021,5,2,1,0
3/4/2021,3,5,1,0
4/4/2021,2,6,0,0
5/4/2021,7,4,0,1
6/4/2021,5,3,0,1
7/4/2021,4,2,0,0
8/4/2021,4,6,0,3
9/4/2021,5,7,2,2
10/4/2021,8,3,0,1
11/4/2021,8,6,1,3
12/4/2021,4,11,1,0
13/4/2021,12,5,5,1
14/4/2021,8,5,0,0
15/4/2021,10,4,1,0
16/4/2021,2,6,0,0
17/4/2021,5,11,0,2
18/4/2021,8,8,0,3
19/4/2021,8,9,0,2
20/4/2021,3,10,0,2
21/4/2021,11,9,3,1
22/4/2021,7,6,0,3
23/4/2021,8,15,3,4
24/4/2021,11,8,2,3
25/4/2021,10,21,0,2
26/4/2021,13,14,2,1
27/4/2021,13,10,2,2
28/4/2021,15,14,3,2
29/4/2021,15,22,3,3
30/4/2021,14,21,3,1
1/5/2021,15,16,0,4
2/5/2021,12,20,2,6
3/5/2021,18,23,0,1
4/5/2021,23,14,2,1
5/5/2021,17,30,2,5
6/5/2021,19,27,4,3
7/5/2021,22,29,3,2
8/5/2021,25,29,4,3
9/5/2021,26,21,4,2
10/5/2021,17,35,0,3
11/5/2021,22,44,2,2
12/5/2021,39,50,3,4
13/5/2021,27,38,3,2
14/5/2021,34,44,2,6
15/5/2021,44,48,0,9
16/5/2021,36,44,1,2
17/5/2021,45,51,3,7
18/5/2021,47,58,8,7
19/5/2021,46,52,5,9
20/5/2021,59,46,7,5
21/5/2021,50,60,3,7
22/5/2021,50,84,10,7
23/5/2021,49,69,6,9
24/5/2021,61,66,5,8
25/5/2021,60,74,4,6
26/5/2021,63,91,8,8
27/5/2021,59,63,3,8
28/5/2021,61,105,3,13
29/5/2021,98,75,9,2
30/5/2021,79,109,8,14
31/5/2021,67,96,8,10
1/6/2021,71,93,5,10
2/6/2021,126,86,10,8
3/6/2021,103,110,9,5
4/6/2021,86,83,7,7
5/6/2021,109,90,9,9
6/6/2021,87,79,6,13
7/6/2021,82,82,6,8
8/6/2021,76,73,5,13
9/6/2021,75,93,11,9
10/6/2021,73,68,6,6
11/6/2021,84,65,16,2
12/6/2021,76,82,5,6
13/6/2021,64,73,6,6
14/6/2021,60,90,3,8
15/6/2021,101,78,9,10
16/6/2021,73,80,9,12
17/6/2021,60,82,2,11
18/6/2021,74,80,6,10
19/6/2021,72,67,11,13
20/6/2021,60,75,7,11
21/6/2021,69,81,5,12
22/6/2021,77,88,11,13
23/6/2021,83,83,10,11
24/6/2021,84,80,11,15
25/6/2021,82,78,17,5
26/6/2021,81,87,10,13
27/6/2021,60,72,9,12
28/6/2021,57,91,4,7
29/6/2021,107,91,14,20
30/6/2021,62,109,7,14
1/7/2021,84,96,9,17
2/7/2021,73,107,13,18
3/7/2021,107,116,14,14
4/7/2021,63,112,7,13
5/7/2021,77,97,13,13
6/7/2021,103,111,12,12
7/7/2021,91,153,10,15
8/7/2021,135,155,20,38
9/7/2021,77,180,8,24
10/7/2021,87,148,8,31
11/7/2021,90,182,10,32
12/7/2021,103,172,14,48
13/7/2021,125,192,16,28
14/7/2021,118,173,13,28
15/7/2021,110,208,15,35
16/7/2021,115,209,24,40
17/7/2021,138,255,18,40
18/7/2021,153,233,24,41
19/7/2021,129,215,13,31
20/7/2021,93,268,10,50
21/7/2021,199,263,33,47
22/7/2021,134,257,22,44
23/7/2021,144,282,8,52
24/7/2021,184,297,32,58
25/7/2021,92,297,8,53
26/7/2021,207,263,14,62
27/7/2021,207,263,31,65
28/7/2021,143,309,14,56
29/7/2021,174,279,28,63
30/7/2021,134,319,9,82
31/7/2021,165,300,12,79
1/8/2021,160,314,20,93
2/8/2021,219,365,21,92
3/8/2021,195,331,34,84
4/8/2021,257,303,21,78
5/8/2021,164,304,22,61
6/8/2021,160,345,24,82
7/8/2021,210,326,34,68
8/8/2021,360,310,85,75
9/8/2021,212,295,16,60
10/8/2021,201,392,34,109
11/8/2021,211,268,16,62
12/8/2021,318,286,93,53
13/8/2021,277,233,96,25
14/8/2021,260,244,68,50
15/8/2021,282,269,101,61
16/8/2021,274,254,77,48
17/8/2021,293,242,44,59
18/8/2021,225,260,35,60
19/8/2021,178,245,35,65
20/8/2021,233,221,60,47
21/8/2021,223,241,35,57
22/8/2021,232,285,43,66
23/8/2021,174,264,21,54
24/8/2021,211,178,40,65
25/8/2021,265,230,69,50
26/8/2021,393,264,100,55
27/8/2021,339,231,99,53
28/8/2021,252,229,31,58
29/8/2021,285,239,51,66
30/8/2021,295,263,53,66
31/8/2021,282,246,98,60
1/9/2021,278,259,65,58
2/9/2021,249,219,80,49
3/9/2021,330,207,93,47
4/9/2021,362,215,104,43
5/9/2021,336,240,107,50
6/9/2021,272,224,81,50
7/9/2021,311,208,93,46
8/9/2021,362,227,102,61
9/9/2021,322,196,55,48
10/9/2021,341,203,102,46
11/9/2021,592,189,88,47
12/9/2021,292,208,106,46
13/9/2021,413,168,176,39
14/9/2021,463,174,108,45
15/9/2021,422,191,92,42
16/9/2021,346,163,105,33
17/9/2021,388,173,64,20
18/9/2021,324,143,70,22
19/9/2021,376,116,75,19
20/9/2021,301,92,92,5
21/9/2021,334,47,84,0
22/9/2021,487,7,161,1
